web-scraper-order ,web-scraper-start-url                          ,constituent_link                     ,constituent_link-href                                               ,Formerly                                                                                                                                                                                                                                                                                                      ,Company type                   ,Company type-href                                      ,Traded as                                                                                                                                                                                                                                                                                                                               ,ISIN                                                                            ,Industry                ,Founded                                                                                                                                                                                                                                                                                                                                                                                                    ,Founder                                                           ,Headquarters                                                                             ,Key people                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Services                                                                                                                                                                                                                                                                                                                                                                                              ,Operating income               ,Net income                     ,AUM                           ,Number of employees      ,Website
"1727695300-1"    ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"WPP plc"                            ,"https://en.wikipedia.org/wiki/WPP_plc"                             ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_company"         ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Communications"        ,"1971; 53 years ago (1971)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        (Wire and Plastic Products plc)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        1985
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        (Sorrell acquisition and entry into advertising)"                                                                                                                                                                                                                                                                                                                                                          ,"Martin SorrellPreston Rabl(as an advertising company)"           ,"London, England, UK"                                                                    ,"[{""Key people"":""Martin Sorrell""},{""Key people"":""Preston Rabl""},{""Key people"":""Roberto Quarta (chair­person)""},{""Key people"":""Mark Read (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                 ,"[{""Services"":""Communications""},{""Services"":""Advertising""},{""Services"":""Public relations""},{""Services"":""Integrated networks""},{""Services"":""media""},{""Services"":""data and insights""},{""Services"":""public relations and public affairs""},{""Services"":""brand consulting""},{""Services"":""production""},{""Services"":""health and wellness[1]""}]"                      ,"£531.0 million (2023)[2]"     ,"£197.2 million (2023)[2]"     ,""                            ,"115,000 (2024)[3]"      ,"www.wpp.com"
"1727695302-2"    ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Whitbread"                          ,"https://en.wikipedia.org/wiki/Whitbread"                           ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Leisure"               ,"1742; 282 years ago (1742) in London, England"                                                                                                                                                                                                                                                                                                                                                            ,"Samuel Whitbread"                                                ,"Houghton Regis, England, UK"                                                            ,"[{""Key people"":""Adam Crozier (chair­person)""},{""Key people"":""Dominic Paul (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"[{""Services"":""Leisure""},{""Services"":""Hospitality""}]"                                                                                                                                                                                                                                                                                                                                         ,"£543.5 million (2023)[2]"     ,"£278.8 million (2023)[2]"     ,""                            ,"40,000 (2024)[3]"       ,"www.whitbread.co.uk"
"1727695304-3"    ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Weir Group"                         ,"https://en.wikipedia.org/wiki/Weir_Group"                          ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_company"         ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Engineering"           ,"1871"                                                                                                                                                                                                                                                                                                                                                                                                     ,""                                                                ,"Glasgow, Scotland, UK"                                                                  ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£458.8 million (2023)[1]"     ,"£228.6 million (2023)[1]"     ,""                            ,"11,000 (2024)[2]"       ,"www.global.weir"
"1727695307-4"    ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Vodafone Group"                     ,"https://en.wikipedia.org/wiki/Vodafone"                            ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_company"         ,"[]"                                                                                                                                                                                                                                                                                                                                    ,"GB00BH4HKS39"                                                                  ,"Telecommunications"    ,"July 17, 1984; 40 years ago (1984-07-17)"                                                                                                                                                                                                                                                                                                                                                                 ,"Ernest HarrisonGerry Whent"                                      ,"Newbury, Berkshire, England, UK"                                                        ,"[{""Key people"":""Ernest Harrison""},{""Key people"":""Gerry Whent""},{""Key people"":""Jean-François van Boxmeer (chairman)""},{""Key people"":""Margherita Della Valle (CEO)""}]"                                                                                                                                                                                                                                                                                                                                             ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"€3.665 billion (2024)[1]"     ,"€1.505 billion (2024)[1]"     ,""                            ,"84,173 (2024)[2]"       ,"www.vodafone.com"
"1727695309-5"    ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Vistry Group"                       ,"https://en.wikipedia.org/wiki/Vistry_Group"                        ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_company"         ,"[{""Traded as"":""LSE: VTY""},{""Traded as"":""FTSE 100 component""}]"                                                                                                                                                                                                                                                                 ,"[update]"                                                                      ,""                      ,"1965"                                                                                                                                                                                                                                                                                                                                                                                                     ,""                                                                ,"Kings Hill, England"                                                                    ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£311.8 million (2023)[1]"     ,"£305.3 million (2023)[1]"     ,""                            ,""                       ,"www.vistrygroup.co.uk"
"1727695311-6"    ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Unite Group"                        ,"https://en.wikipedia.org/wiki/Unite_Students"                      ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_company"         ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Student accommodation" ,"1991"                                                                                                                                                                                                                                                                                                                                                                                                     ,"Nicholas Porter"                                                 ,"Bristol, England, UK"                                                                   ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£154.7 million (2023)[1]"     ,"£103.6 million (2023)[1]"     ,""                            ,"2,000 (2024)[2]"        ,"www.unite-group.co.uk"
"1727695313-7"    ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"United Utilities"                   ,"https://en.wikipedia.org/wiki/United_Utilities"                    ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Water industry"        ,"1995; 29 years ago (1995)"                                                                                                                                                                                                                                                                                                                                                                                ,""                                                                ,"Warrington, England, UK"                                                                ,"[{""Key people"":""Sir David Higgins (chair­person)""},{""Key people"":""Louise Beardmore (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                             ,"[{""Services"":""Water supply""},{""Services"":""Sewage treatment""}]"                                                                                                                                                                                                                                                                                                                               ,"£440.8 million (2023)[1]"     ,"£204.9  million (2023)[1]"    ,""                            ,""                       ,"www.unitedutilities.com"
"1727695315-8"    ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Unilever"                           ,"https://en.wikipedia.org/wiki/Unilever"                            ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_company"         ,"[{""Traded as"":""LSE: ULVR""},{""Traded as"":""FTSE 100 component""}]"                                                                                                                                                                                                                                                                ,"GB00B10RZP78"                                                                  ,"Consumer goods"        ,"2 September 1929;
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        95 years ago (1929-09-02)"                                                                                                                                                                                                                                                                                                                                                                                 ,"Anton Jurgens
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    William Hulme Lever
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Samuel van den Bergh"                                             ,"Unilever House, London, England, United Kingdom"                                        ,"[{""Key people"":""Anton Jurgens""},{""Key people"":""William Hulme Lever""},{""Key people"":""Samuel van den Bergh""},{""Key people"":""Ian Meakins (chair)""},{""Key people"":""Hein Schumacher (CEO)""}]"                                                                                                                                                                                                                                                                                                                     ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"€9.758 billion (2023)[1]"     ,"€7.140 billion (2023)[1]"     ,""                            ,"127,000 (2024)[2]"      ,"unilever.com"
"1727695317-9"    ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Tesco"                              ,"https://en.wikipedia.org/wiki/Tesco"                               ,"[{""Formerly"":""Tesco Stores (Holdings) Limited (1947–1981)[1]""},{""Formerly"":""Tesco Stores (Holdings) Public Limited Company (1981–1983)[2]""}]"                                                                                                                                                        ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,"51°42′18.89″N 0°1′36.37″W﻿ / ﻿51.7052472°N 0.0267694°W﻿ / 51.7052472; -0.0267694" ,"Retail"                ,"1919; 105 years ago (1919)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Hackney, London, England, UK"                                                                                                                                                                                                                                                                                                                                                                              ,"Jack Cohen"                                                      ,"Tesco House, Shire Park, Kestrel Way, Welwyn Garden City, Hertfordshire, England, UK"   ,"[{""Key people"":""John Allan (Chairman)[4]""},{""Key people"":""Ken Murphy (CEO)[5]""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£2.630 billion (2023)[6]"     ,"£0.744 billion (2023)[6]"     ,""                            ,"330,000 (2024)[7]"      ,"tesco.com
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    tescoplc.com"
"1727695319-10"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Taylor Wimpey"                      ,"https://en.wikipedia.org/wiki/Taylor_Wimpey"                       ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,""                      ,"2007; 17 years ago (2007)"                                                                                                                                                                                                                                                                                                                                                                                ,""                                                                ,"High Wycombe, England, UK"                                                              ,"[{""Key people"":""Irene Dorner (chair­person)""},{""Key people"":""Jennie Daly (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£467.8 million (2023)[1]"     ,"£349.0 million (2023)[1]"     ,""                            ,""                       ,"www.taylorwimpey.co.uk"
"1727695321-11"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Standard Chartered"                 ,"https://en.wikipedia.org/wiki/Standard_Chartered"                  ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_company"         ,"[{""Traded as"":""LSE: STAN""},{""Traded as"":""SEHK: 2888""},{""Traded as"":""FTSE 100 component (STAN)""}]"                                                                                                                                                                                                                          ,"GB0004082847"                                                                  ,"Banking"               ,"As Chartered Bank of India, Australia, and China on 29 December 1853; 170 years ago (1853-12-29)As Standard Chartered on 18 November 1969; 54 years ago (1969-11-18)"                                                                                                                                                                                                                                     ,"James Wilson with a royal charter (for the Chartered Bank line)" ,"1 Basinghall Avenue, London, England, UK"                                               ,"[{""Key people"":""José Viñals (group chairman)""},{""Key people"":""Bill Winters (group chief executive)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                   ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"US$ 5.093 billion (2023)[1]"  ,"US$ 3.462 billion (2023)[1]"  ,""                            ,"83,000 (2024)[3]"       ,"sc.com"
